nose_y      ,nose_x      ,l_eye_y     ,l_eye_x     ,r_eye_y     ,r_eye_x     ,l_ear_y     ,l_ear_x     ,r_ear_y     ,r_ear_x     ,l_shldr_y   ,l_shldr_x   ,r_shldr_y   ,r_shldr_x   ,l_elbow_y   ,l_elbow_x   ,r_elbow_y   ,r_elbow_x   ,l_wrist_y   ,l_wrist_x   ,r_wrist_y   ,r_wrist_x   ,l_hip_y     ,l_hip_x     ,r_hip_y     ,r_hip_x     ,l_knee_y    ,l_knee_x    ,r_knee_y    ,r_knee_x    ,l_ankle_y   ,l_ankle_x   ,r_ankle_y   ,r_ankle_x   
-1.190654516,-0.247992605,-1.261167645,-0.197760075,-1.271986604,-0.224362344,-1.274041057,0.022142755 ,-1.309581280,-0.043826897,-0.882806122,0.180048928 ,-1.087142944,0.165350676 ,-0.371994555,-0.080218926,-0.645533800,-0.053218182,-0.900116682,-0.205500677,-0.977215171,-0.167800263,0.026387595 ,0.004083992 ,-0.026387595,-0.004084324,0.505912900 ,-0.034932438,0.320097715 ,-0.097563177,0.984816730 ,0.038677458 ,0.742971539 ,-0.030550681
-1.187718630,-0.248927176,-1.259261847,-0.200638592,-1.269278288,-0.223094657,-1.278682470,0.014752921 ,-1.312750459,-0.043964230,-0.881182075,0.171845764 ,-1.089057088,0.171895400 ,-0.370196402,-0.084045239,-0.644000888,-0.049548343,-0.898931444,-0.209595829,-0.975881636,-0.168952078,0.025244124 ,-0.001698890,-0.025244124,0.001698890 ,0.511602044 ,-0.036337718,0.321183145 ,-0.095973782,0.991622925 ,0.035249881 ,0.741466939 ,-0.032942936
-1.186046481,-0.257811546,-1.257676840,-0.208103776,-1.269918561,-0.227016121,-1.271069765,0.008386320 ,-1.310770988,-0.044466279,-0.886700690,0.137967795 ,-1.087851405,0.180063859 ,-0.356675506,-0.092437342,-0.644987881,-0.046411492,-0.888175011,-0.220353499,-0.917567670,-0.185565904,0.028387858 ,-0.013335581,-0.028387858,0.013335581 ,0.512853563 ,-0.047033317,0.313631505 ,-0.092633165,0.996394217 ,0.026761567 ,0.744890690 ,-0.036966331
-1.188202977,-0.257667601,-1.265723348,-0.203390390,-1.272722006,-0.228962377,-1.272722721,0.017558193 ,-1.316972852,-0.045858454,-0.875714898,0.169418827 ,-1.096543312,0.162541777 ,-0.353555322,-0.071509212,-0.647952020,-0.047612555,-0.894483209,-0.224448711,-0.930412173,-0.191556007,0.028724397 ,-0.000141715,-0.028724734,0.000141378 ,0.521944642 ,-0.040305309,0.328621387 ,-0.100193888,1.009221196 ,0.033181857 ,0.770594954 ,-0.032931078
-1.189087868,-0.241849750,-1.266346097,-0.186325818,-1.274054050,-0.210482940,-1.266510963,0.034464344 ,-1.311531663,-0.026333872,-0.877544105,0.190031722 ,-1.090028524,0.168657720 ,-0.355721295,-0.051158700,-0.649751782,-0.046610449,-0.890269458,-0.209281266,-0.936831951,-0.179735556,0.030750727 ,0.010739962 ,-0.030750727,-0.010739962,0.518005967 ,-0.025717115,0.321720868 ,-0.095092624,1.004189253 ,0.047889214 ,0.762181640 ,-0.024135333
-1.198797107,-0.250732839,-1.267622948,-0.198935375,-1.283991218,-0.219364047,-1.268373609,0.028465599 ,-1.316711903,-0.030535739,-0.875982404,0.177257106 ,-1.093216777,0.172392383 ,-0.351757377,-0.057809263,-0.656652510,-0.050950870,-0.890985131,-0.216088966,-0.933783889,-0.185186774,0.029524015 ,0.012053706 ,-0.029523678,-0.012053367,0.530058146 ,-0.028376607,0.327338815 ,-0.105826139,1.016964555 ,0.046087161 ,0.777247965 ,-0.028094070
-1.202287555,-0.255095124,-1.271239996,-0.205780625,-1.286054611,-0.224542573,-1.277900815,0.014033274 ,-1.321569324,-0.039930467,-0.874628901,0.148980975 ,-1.094893217,0.198844939 ,-0.360350788,-0.089449950,-0.669231296,-0.047213692,-0.892631650,-0.226708189,-0.925676465,-0.183183625,0.029668789 ,-0.007976930,-0.029668789,0.007976591 ,0.527110696 ,-0.040601093,0.336532146 ,-0.106213585,1.023159027 ,0.038598716 ,0.786516011 ,-0.036523368
-1.203670740,-0.264042467,-1.276297688,-0.216108069,-1.290230393,-0.235278070,-1.283552051,0.002561043 ,-1.326534867,-0.051886711,-0.889074266,0.125660911 ,-1.079827309,0.225660041 ,-0.350018680,-0.096749984,-0.634029508,-0.015713733,-0.897571146,-0.237870604,-0.929508507,-0.188914672,0.032101873 ,-0.013732956,-0.032102216,0.013732956 ,0.531385124 ,-0.053240322,0.340551615 ,-0.112603046,1.036011934 ,0.029992035 ,0.794723034 ,-0.041839384
-1.193314314,-0.257741928,-1.266969919,-0.207982928,-1.280855060,-0.230100527,-1.274756432,0.010526159 ,-1.318364739,-0.049479771,-0.887191713,0.130748287 ,-1.084622502,0.203839317 ,-0.352685571,-0.092085458,-0.625853598,-0.007381593,-0.891814172,-0.226091772,-0.812401712,-0.170193449,0.030308692 ,-0.007695812,-0.030308692,0.007695472 ,0.523106992 ,-0.042700119,0.332846314 ,-0.109251656,1.019212484 ,0.034837518 ,0.780770063 ,-0.037263967
-1.190059304,-0.258641422,-1.268370152,-0.208422229,-1.277839184,-0.231560245,-1.279864430,0.002337882 ,-1.320857882,-0.053187586,-0.888371348,0.121909052 ,-1.080119729,0.231704384 ,-0.358112335,-0.094862126,-0.633420587,-0.002877498,-0.887577236,-0.235522404,-0.808816910,-0.172887981,0.032656413 ,-0.015843537,-0.032656413,0.015843537 ,0.518401086 ,-0.046870589,0.321588904 ,-0.118287079,1.015977979 ,0.033088852 ,0.775566101 ,-0.040146254
